Create worker:4823,0 restart 1 16:19:04
Create worker:4829,0 restart 2 16:19:04
Create worker:4841,0 restart 3 16:19:05
Create worker:4848,0 restart 4 16:19:05
Create worker:4861,0 restart 5 16:19:06
Create worker:4867,0 restart 6 16:19:06
Create worker:4877,0 restart 7 16:19:07
Create worker:4884,0 restart 8 16:19:07
Create worker:4898,0 restart 9 16:19:08
Create worker:4905,0 restart 10 16:19:08
Create worker:4911,0 restart 11 16:19:09
Create worker:4921,0 restart 12 16:19:09
Create worker:4932,0 restart 13 16:19:10
Create worker:4943,0 restart 14 16:19:10
Create worker:4958,0 restart 15 16:19:11
Create worker:4975,0 restart 16 16:19:11
Create worker:4987,0 restart 17 16:19:12
Create worker:4997,0 restart 18 16:19:12
Create worker:5007,0 restart 19 16:19:13
Create worker:5022,0 restart 20 16:19:13
worker:4997exited,0 restart 18 16:26:23
Create worker:8397,-1 restart 18 16:26:23
worker:8397exited,-1 restart 18 16:30:54
Create worker:10601,-1 restart 18 16:30:54
worker:4841exited,0 restart 3 16:32:42
Create worker:11317,-1 restart 3 16:32:42
worker:4829exited,0 restart 2 16:33:30
Create worker:11713,-1 restart 2 16:33:30
worker:4932exited,0 restart 13 16:35:22
Create worker:12470,-1 restart 13 16:35:22
worker:4861exited,0 restart 5 16:35:31
Create worker:12509,-1 restart 5 16:35:31
worker:4848exited,0 restart 4 16:43:57
Create worker:15089,-1 restart 4 16:43:57
worker:4867exited,0 restart 6 16:46:00
Create worker:15740,-1 restart 6 16:46:00
worker:4823exited,0 restart 1 16:48:25
Create worker:16534,-1 restart 1 16:48:25
worker:4911exited,0 restart 11 16:57:00
Create worker:19070,-1 restart 11 16:57:00
worker:5022exited,0 restart 20 16:57:12
Create worker:19140,-1 restart 20 16:57:12
worker:12509exited,-1 restart 5 16:58:54
Create worker:19664,-1 restart 5 16:58:54
worker:11713exited,-1 restart 2 17:03:00
Create worker:21060,-1 restart 2 17:03:00
worker:5007exited,0 restart 19 17:07:03
Create worker:22482,-1 restart 19 17:07:03
worker:19140exited,-1 restart 20 17:08:28
Create worker:22918,-1 restart 20 17:08:28
worker:15089exited,-1 restart 4 17:08:45
Create worker:23058,-1 restart 4 17:08:45
worker:4975exited,0 restart 16 17:10:46
Create worker:23714,-1 restart 16 17:10:46
worker:4958exited,0 restart 15 17:19:36
Create worker:26521,-1 restart 15 17:19:36
worker:22918exited,-1 restart 20 17:37:34
Create worker:31646,-1 restart 20 17:37:34
worker:23714exited,-1 restart 16 17:41:44
Create worker:473,-1 restart 16 17:41:44
worker:4877exited,0 restart 7 17:42:09
Create worker:588,-1 restart 7 17:42:09
worker:4987exited,0 restart 17 17:42:37
Create worker:710,-1 restart 17 17:42:37
worker:11317exited,-1 restart 3 17:43:12
Create worker:890,-1 restart 3 17:43:12
worker:473exited,-1 restart 16 17:45:26
Create worker:1689,-1 restart 16 17:45:26
worker:1689exited,-1 restart 16 17:50:49
Create worker:3408,-1 restart 16 17:50:49
worker:22482exited,-1 restart 19 17:52:51
Create worker:4079,-1 restart 19 17:52:51
worker:15740exited,-1 restart 6 17:53:05
Create worker:4187,-1 restart 6 17:53:05
worker:710exited,-1 restart 17 17:53:44
Create worker:4382,-1 restart 17 17:53:44
worker:4905exited,0 restart 10 17:53:53
Create worker:4432,-1 restart 10 17:53:53
worker:16534exited,-1 restart 1 17:56:09
Create worker:5122,-1 restart 1 17:56:09
worker:26521exited,-1 restart 15 17:59:51
Create worker:6449,-1 restart 15 17:59:51
worker:3408exited,-1 restart 16 18:02:24
Create worker:7530,-1 restart 16 18:02:24
worker:4432exited,-1 restart 10 18:08:02
Create worker:9424,-1 restart 10 18:08:02
worker:23058exited,-1 restart 4 18:23:07
Create worker:14049,-1 restart 4 18:23:07
worker:4884exited,0 restart 8 18:27:17
Create worker:15194,-1 restart 8 18:27:17
worker:15194exited,-1 restart 8 18:30:30
Create worker:16186,-1 restart 8 18:30:30
worker:19664exited,-1 restart 5 18:36:01
Create worker:17963,-1 restart 5 18:36:01
worker:16186exited,-1 restart 8 18:37:02
Create worker:18259,-1 restart 8 18:37:02
worker:5122exited,-1 restart 1 18:43:05
Create worker:20231,-1 restart 1 18:43:05
worker:4921exited,0 restart 12 18:44:27
Create worker:20642,-1 restart 12 18:44:27
worker:19070exited,-1 restart 11 18:44:30
Create worker:20662,-1 restart 11 18:44:30
worker:21060exited,-1 restart 2 18:49:13
Create worker:21970,-1 restart 2 18:49:13
worker:4187exited,-1 restart 6 18:57:26
Create worker:24526,-1 restart 6 18:57:26
worker:4943exited,0 restart 14 18:57:28
Create worker:24540,-1 restart 14 18:57:28
worker:6449exited,-1 restart 15 19:01:46
Create worker:25812,-1 restart 15 19:01:46
worker:9424exited,-1 restart 10 19:02:30
Create worker:26072,-1 restart 10 19:02:30
worker:26072exited,-1 restart 10 19:14:40
Create worker:29815,-1 restart 10 19:14:40
worker:588exited,-1 restart 7 19:21:28
Create worker:31970,-1 restart 7 19:21:28
worker:18259exited,-1 restart 8 19:27:28
Create worker:1167,-1 restart 8 19:27:28
worker:21970exited,-1 restart 2 19:27:41
Create worker:1218,-1 restart 2 19:27:41
worker:24526exited,-1 restart 6 19:31:31
Create worker:2523,-1 restart 6 19:31:31
worker:4898exited,0 restart 9 19:31:57
Create worker:2636,-1 restart 9 19:31:57
worker:31970exited,-1 restart 7 19:37:52
Create worker:4461,-1 restart 7 19:37:52
worker:25812exited,-1 restart 15 19:38:42
